timestamp_ms,ax,ay,az,gx,gy,gz
0,2.9150562,4.9232326,8.305488,-0.17195857,0.21945333,-0.07147124
17,2.716452,4.872385,8.085946,-0.12996158,0.16783522,-0.09056077
35,2.7349963,4.9262238,8.170891,-0.10522154,0.11148291,-0.102319926
53,2.6871397,4.9417768,8.289934,-0.11636983,0.14920384,-0.1160644
71,2.6015964,4.974678,8.236693,-0.14110987,0.21502456,-0.12644911
89,2.5680969,5.023133,8.298309,-0.16203201,0.23457226,-0.1255328
107,2.5004997,4.981857,8.517851,-0.15958855,0.23457226,-0.1255328
125,2.4095724,5.0009995,8.555537,-0.1339322,0.23609942,-0.11056661
143,2.4059832,5.2055855,8.306086,-0.083383106,0.18005253,-0.1001819
161,2.7667012,5.617749,8.142178,-0.0027488936,-0.004886922,-0.13041973
179,2.9114668,5.63091,8.495717,0.11377365,-0.24022275,-0.18096884
197,3.2267213,5.8229337,8.9013,0.19761491,-0.3370449,-0.20448714
215,3.3876386,6.0161543,8.996415,0.21700987,-0.2771801,-0.21700987
233,3.4683964,6.126224,8.919247,0.20677789,-0.1965459,-0.2237294
251,3.4211383,6.2111692,8.790034,0.24388795,-0.22861631,-0.24663684
268,3.3684962,6.1884375,8.889935,0.35124752,-0.40103304,-0.258396
286,3.6933217,6.5569324,9.2177515,0.5140431,-0.63041294,-0.23273966
304,4.316054,7.2299137,9.602397,0.6666067,-0.7791586,-0.22617286
322,4.8341,7.9022965,9.962517,0.7452556,-0.7770206,-0.26007587
340,5.050052,8.304291,10.261022,0.742354,-0.65668017,-0.31108314
358,5.2749777,8.639286,10.593026,0.8051204,-0.64873886,-0.36483926
376,5.5657053,8.971291,11.083554,1.048092,-0.87979865,-0.474795
394,5.5405807,8.958728,11.292927,1.3921618,-1.2030991,-0.6461427
412,5.328218,8.56451,11.309676,1.6966782,-1.4711162,-0.7851145
430,5.474778,8.489735,11.487343,1.943926,-1.6050484,-0.8588765
448,5.56092,8.569296,11.224731,2.1168008,-1.5289958,-0.9639453
466,5.2181478,8.462217,10.680364,2.1875083,-1.3495541,-1.0910053
484,4.831707,8.308478,10.250254,2.2547035,-1.2455542,-1.1797335
501,4.6055856,8.400003,9.857233,2.4268148,-1.3072516,-1.244638
519,4.494319,8.596215,9.292527,2.660929,-1.4866933,-1.3377949
537,4.330411,8.730812,8.813962,2.8756483,-1.6812539,-1.4604261
555,3.9343987,8.629117,8.368897,3.067918,-1.8266398,-1.5664113
573,3.78724,9.032308,7.3495545,3.2304082,-1.9254472,-1.6629279
591,3.4749768,9.480363,6.0568323,3.3472362,-2.0917554,-1.8487836
609,2.7475586,9.306884,4.6564326,3.4842227,-2.3952026,-2.0422752
627,2.2037897,8.978469,3.5784662,3.6325102,-2.835331,-2.1329887
645,2.0793629,8.956933,2.8719854,3.7607918,-3.2621732,-2.144137
663,2.0823538,9.276974,2.1924238,3.8716638,-3.6135733,-2.1817052
