timestamp_ms,ax,ay,az,gx,gy,gz
0,4.0719857,-2.7439694,8.148159,-0.036651913,0.21578814,-0.004276057
17,4.031308,-2.306681,7.399804,-0.1777618,0.04932737,-0.016035212
35,4.1700916,-2.440679,8.231908,-0.12308934,-0.074067414,-0.07070765
53,4.2047877,-2.7583263,8.179864,-0.098807454,-0.13225232,-0.076816306
71,4.3495536,-2.5962126,8.165507,-0.13637567,-0.129198,-0.06307184
89,4.5397825,-2.4867408,8.315059,-0.16982053,-0.050396383,-0.07284568
107,4.4811587,-2.5094728,8.459227,-0.2191479,0.05497787,-0.0804815
125,4.302893,-2.565106,8.646464,-0.25060746,0.15592335,-0.0795652
143,4.1431723,-2.6039891,8.462815,-0.24969117,0.16814066,-0.08368854
161,4.0013976,-2.6668007,8.335996,-0.23671028,0.12370021,-0.09132435
179,3.958925,-2.7116663,8.282756,-0.21242839,0.043676864,-0.09468412
197,3.9888353,-2.7062824,8.236693,-0.1965459,-0.03924809,-0.09865474
215,4.0624146,-2.6943183,8.172686,-0.19486602,-0.09086621,-0.10308351
232,4.1401815,-2.7122645,8.045268,-0.20662516,-0.12873985,-0.09972375
250,4.258028,-2.7236304,7.938189,-0.21960606,-0.13942999,-0.10094548
268,4.343571,-2.7152555,7.6289167,-0.26160303,-0.15836681,-0.10125092
286,4.3872404,-2.5950162,7.576275,-0.35369098,-0.16814066,-0.10125092
304,4.3722854,-2.5842485,7.5792656,-0.46395215,-0.1421789,-0.10048734
322,4.3686957,-2.6171498,7.34118,-0.5497787,-0.16508633,-0.10338894
340,4.3782673,-2.865405,7.2825556,-0.65500027,-0.182496,-0.102319926
358,4.562515,-3.1998022,7.745567,-0.7099781,-0.09560041,-0.09621128
376,4.705486,-3.290131,7.682157,-0.7151705,0.015577064,-0.09697486
394,4.6450667,-3.3074791,7.2622166,-0.77839506,0.07376198,-0.110413894
412,4.4548373,-3.4283166,7.018149,-0.84391034,0.07925977,-0.12782355
430,4.3268213,-3.6059837,6.7005014,-0.87995136,-0.027947085,-0.15424347
448,4.152744,-3.739982,6.6155562,-0.95462966,-0.15271631,-0.16676621
466,4.132405,-3.7597225,6.5228343,-1.0586295,-0.26374108,-0.16676621
483,4.2006,-3.802195,6.439684,-1.1530081,-0.36682457,-0.1684461
501,4.339982,-4.0516467,6.29432,-1.269378,-0.39721513,-0.15745051
519,4.615755,-4.5134616,6.326623,-1.3840679,-0.34254268,-0.12629639
537,4.9172506,-4.8699923,6.664011,-1.423316,-0.20189096,-0.10827587
555,5.0333023,-4.9663033,6.5282183,-1.4792101,-0.08552113,-0.122020334
573,4.8915277,-4.966902,6.2081785,-1.6291776,-0.03359759,-0.15286903
591,4.6462636,-5.029115,6.1184473,-1.7993035,-0.0096211275,-0.18661933
609,4.4817567,-5.2348976,5.966503,-1.9265163,-0.045356743,-0.21777347
627,4.319643,-5.6500525,5.6446686,-2.0486894,-0.10308351,-0.21746802
645,4.4093738,-6.1830535,5.7379885,-2.1342103,-0.124769226,-0.17363845
663,4.752744,-6.6035924,6.02094,-2.111303,-0.08109236,-0.17272215
