timestamp_ms,ax,ay,az,gx,gy,gz
0,0.5706882,-7.9776707,6.1100726,0.14767668,0.12736541,0.1339322
17,0.53599226,-7.4099736,5.2331033,0.18707748,0.05100725,0.17867808
35,0.5521438,-7.29452,5.766104,0.07391469,-0.114689946,0.15714508
53,0.35294133,-7.687541,5.877969,0.07941248,-0.21517728,0.14431691
71,0.67118675,-7.4913297,5.715855,0.07941248,-0.26832256,0.20234911
89,1.0013963,-7.381858,6.0460644,0.020463986,-0.28038713,0.21930063
107,1.0055838,-7.4805617,6.2518473,-0.009315695,-0.21029036,0.24556783
125,0.96789676,-7.414759,6.1507506,-0.014813482,-0.13271047,0.29046643
143,0.7920243,-7.381858,6.111269,-0.016340645,-0.089491755,0.30970868
161,0.5982057,-7.5122666,6.0640106,-0.0025961774,-0.117744274,0.30757064
179,0.6837491,-7.5936227,6.0508504,-0.007330383,-0.18234327,0.31902438
197,0.8596215,-7.6743803,6.1381884,-0.013286319,-0.22403483,0.31795537
215,0.9589237,-7.745567,6.181857,0.011453724,-0.22434026,0.29367346
232,0.94396853,-7.6013994,6.2237315,0.035888333,-0.1965459,0.26542094
250,0.7639086,-7.48774,6.0975103,0.04550946,-0.15149458,0.2406809
268,0.6412765,-7.4362946,5.9347982,0.027183503,-0.1432479,0.22693644
286,0.65084773,-7.4602227,5.94437,-0.0070249503,-0.15561792,0.22327125
304,0.6233303,-7.576275,5.878567,-0.011759156,-0.16081028,0.19990565
322,0.5192425,-7.591828,5.797211,-0.0030543262,-0.17821993,0.17684549
340,0.44805604,-7.5589266,5.729614,-0.0016798794,-0.19914207,0.16722436
358,0.42951167,-7.573882,5.672186,-0.006414085,-0.24205536,0.16371189
376,0.41994038,-7.583453,5.7009,-0.013591751,-0.26893342,0.16997325
394,0.37328035,-7.66122,5.601,-0.022143865,-0.2958115,0.17745635
412,0.48215377,-7.640881,5.715855,-0.061391957,-0.31627548,0.20693061
430,0.637089,-7.6719875,5.9557357,-0.11301007,-0.32421672,0.2593123
448,0.69332033,-7.804191,6.142974,-0.129198,-0.28848112,0.279929
466,0.36610186,-7.9340014,6.2327046,-0.088728175,-0.25213462,0.2406809
483,0.034097724,-8.065009,6.146563,-0.050701816,-0.23671028,0.20143281
501,-0.16510476,-8.309076,6.3140607,-0.02733622,-0.22953261,0.18310685
519,-0.4211368,-8.659027,6.4151573,0.044898596,-0.17272215,0.12675454
537,-1.0169497,-9.104691,6.1387863,0.18127427,-0.17608191,0.046578474
555,-1.6115661,-9.58505,5.8103714,0.34254268,-0.29733866,0.0065668016
573,-2.1595225,-10.059426,5.5393844,0.5719226,-0.58352906,-0.01863139
591,-2.5788646,-10.453644,5.111069,0.88071495,-1.0774136,-0.046883907
609,-2.4568307,-10.496715,4.5972104,1.2162327,-1.7614299,-0.1020145
627,-1.8586249,-10.381261,4.4751763,1.5332718,-2.640465,-0.20234911
645,-0.8536395,-10.295119,4.703691,1.8380935,-3.4959817,-0.3594942
663,0.4953143,-10.121041,4.551747,2.1858284,-4.2885795,-0.5719226
681,2.0452652,-9.640084,4.7419763,2.560289,-4.9889364,-0.8472701
699,3.6053855,-8.949157,4.811368,2.9323058,-5.39226,-1.133155
719,6.8111696,-7.1246295,4.5559344,3.3509014,-5.118287,-1.6354389
737,7.9710903,-6.3810596,4.7946186,3.3163874,-4.7284026,-1.778076
754,9.049655,-5.5830536,4.7635117,3.3229542,-4.110054,-1.9888245
773,9.296116,-5.038088,4.770092,3.389844,-3.396869,-2.1675026
790,9.1256275,-4.369294,4.4368916,3.4322991,-2.4998133,-2.2644775
808,8.65125,-3.5204403,3.7543387,3.3615913,-1.669342,-2.1809416
826,8.467003,-2.7511477,2.7870402,3.1876476,-1.2180653,-1.9694295
844,8.794222,-2.1571295,1.8484555,2.9852984,-1.2559389,-1.820073
862,9.004191,-1.6133606,1.9848464,2.843425,-1.2820535,-1.7776178
880,8.693723,-0.8500503,2.1343977,2.74813,-0.8924741,-1.755474
898,8.4012,-0.3278167,1.0504491,2.6021333,-0.5338962,-1.5987871
916,8.698508,0.3068795,0.20937198,2.3559546,-0.6232353,-1.3797919
934,8.603394,1.183849,0.7280163,2.1783454,-0.63316184,-1.3035865
952,7.982456,1.5774683,0.99720883,2.1288655,-0.3575089,-1.2000448
970,7.522436,1.7964116,0.5072784,2.0905335,-0.20219639,-0.90026265
988,7.816155,2.4526432,0.12143575,2.0201313,-0.3483459,-0.6053675
1006,7.874779,3.5605202,0.96789676,1.9404135,-0.38927388,-0.58261275
1024,6.9595246,4.2484565,1.3196417,1.8703166,-0.25305092,-0.5172501
1042,6.352944,5.1379886,1.4668003,1.7846428,-0.46013424,-0.22052236
1059,6.8925257,6.6999035,2.8570302,1.7849482,-0.77549344,0.040927973
1077,8.367103,8.540583,5.953941,1.8854356,-0.7858781,0.047494773
1095,9.88475,10.457831,9.102298,2.0491474,-0.3819435,-0.13087788
1113,10.950154,11.415559,10.95494,2.1723895,0.39706242,-0.4569272
1131,11.07518,12.056237,11.083554,2.0482311,1.2484559,-0.7611381
1149,11.388639,12.242279,10.652248,1.7936531,1.8538233,-1.0986412
1167,11.764313,11.694323,10.369297,1.6076446,2.288912,-1.4802792
1185,12.510873,11.173883,9.446265,1.4883732,2.664747,-1.778076
1203,13.678571,11.105688,8.264212,1.3341297,3.0483704,-2.1856759
1221,14.053645,10.987244,7.1946197,1.1485794,3.4202344,-2.660929
1239,13.353147,10.898709,6.2608204,0.93828905,3.7694967,-3.0783026
1257,11.879766,10.691132,4.9788656,0.7153232,3.9724567,-3.3790011
1275,10.032507,10.258031,3.9260237,0.5112942,3.9606977,-3.5329392
1293,8.216354,9.519247,3.1016963,0.37965274,3.748422,-3.5048394
1310,6.8398833,8.813364,3.2638102,0.36041048,3.4636059,-3.3198998
1328,6.000003,8.220542,3.5012977,0.41447207,3.297298,-3.0844114
1346,5.2145586,7.7312098,3.7280176,0.5861252,3.1175508,-2.8011227
1364,4.3244286,7.314859,3.6281173,0.8081747,3.0531044,-2.4323127
1382,3.3589249,7.004988,2.9353952,0.9430232,3.0079005,-1.9804251
1400,2.4789643,6.719046,2.027319,0.89720833,2.8968756,-1.474476
1418,1.7563318,6.3625154,1.707279,0.77747875,2.624277,-0.945314
1436,1.3244274,6.0753765,2.4999015,0.7478518,2.418721,-0.5006041
1454,0.8249256,5.710471,2.9431717,0.91828316,2.2566888,-0.14920384
1472,0.2865405,5.4239306,2.6751757,1.1201742,2.037541,0.19181168
1490,-0.08673982,5.3593245,1.8735801,1.1325442,1.8329011,0.5145013
1508,-0.3930211,5.4484572,1.375873,0.98837996,1.5375478,0.8268061
1526,-0.4648058,5.695516,1.5798612,0.7715228,1.3119859,1.0833695
1544,-0.55752766,5.7523456,1.7461623,0.6556111,0.9857838,1.3353515
1561,-0.317049,5.8743796,2.3814569,0.63606346,0.7290677,1.5428929
1579,-0.19980069,6.000601,2.4795625,0.6275113,0.5758932,1.6606371
1597,-0.18664017,6.189634,2.0458634,0.56062156,0.3678936,1.7588338
1615,-0.0071784677,6.3451676,1.7730815,0.39263365,0.12003502,1.8306104
1633,0.47736812,6.5431733,2.0237298,0.18417588,0.010842858,1.826029
1651,0.8668,6.832705,2.8947172,0.13209961,-0.06429356,1.8150333
1669,0.9553344,6.7262244,3.251248,0.27412578,0.010842858,1.8843665
1687,1.0115658,6.4875402,3.1591241,0.35643986,0.2680171,2.0271564
1705,1.3920245,6.6741805,2.6979074,0.31444287,0.48823404,2.1442897
1723,1.4919249,6.8303123,3.0323045,0.3555236,0.636827,2.238821
1741,1.41356,6.5407805,3.0963125,0.47357327,0.9868528,2.3371704
1759,1.1078769,6.256035,2.5322046,0.5056437,1.273654,2.3839016
1777,0.3786642,6.4881387,2.1798615,0.42180246,1.311375,2.3315198
1795,-0.67417777,7.3639116,2.265405,0.3182608,1.0331259,2.0987802
1812,-1.7982062,8.329415,2.4562325,0.23900102,0.39843684,1.6288722
1830,-2.6985056,9.272786,2.3826532,0.12232576,-0.43417248,0.946383
1848,-2.8713872,9.51147,2.245066,-0.077121735,-1.2583824,0.23243423
1866,-1.7234305,9.056235,3.138187,-0.31978795,-1.8003726,-0.35460728
1884,0.2219343,8.708079,4.562515,-0.39278635,-1.7718146,-0.96837413
1902,1.4715859,7.946564,5.343771,-0.3036,-1.3507757,-1.6174184
1920,1.9800607,6.888338,5.005785,-0.28787026,-0.8217665,-2.1273382
1938,2.396412,5.9964137,4.6091747,-0.43004912,-0.30726522,-2.5167649
1956,2.3694925,5.163113,4.3555355,-0.54412824,0.10354166,-2.8264735
1974,1.899303,4.293322,3.7555351,-0.49296826,0.4008803,-3.0337095
1992,1.3591232,3.4456646,2.969493,-0.33750305,0.5494733,-3.1296153
2010,1.0193424,3.463611,2.4933212,-0.18493946,0.46013424,-3.013551
2028,0.62751776,4.898108,3.3373895,-0.050701816,0.44318274,-2.7003298
2046,0.13100705,6.181857,3.1830523,0.07971791,0.40576723,-2.3658812
2063,-0.27996024,6.4366927,2.1188445,0.09285152,0.11071932,-2.176513
2081,-0.6364908,5.968896,1.3830515,0.07971791,-0.43478334,-2.1024454
2099,-0.82731843,6.2177496,2.8899314,0.10552697,-0.83199847,-1.9701931
2117,-0.47198427,7.4919276,3.403192,0.18371773,-0.9419542,-1.7707456
2135,-0.9092726,8.142178,2.103291,0.22388211,-1.1246029,-1.4068227
2153,-1.1940185,7.769495,0.39541394,0.04932737,-1.3074044,-0.9654725
2171,-0.41754755,7.5589266,0.8392825,-0.3324634,-1.4665347,-0.71944654
2189,0.5563313,8.079964,3.8787656,-0.6310238,-1.3055718,-0.7512115
2207,0.36490545,8.665009,4.752744,-0.519999,-1.1409435,-0.73731434
2225,-0.9589237,8.653045,2.8947172,-0.36651915,-1.0845913,-0.32146785
2243,-1.1724831,8.57468,0.5940182,-0.59238654,-1.235475,0.23472497
2261,0.02213361,8.639884,0.5952146,-1.0980303,-1.6963727,0.44730607
2279,0.66999036,8.506484,3.461816,-1.3411547,-1.9845484,0.37598756
2297,0.040677983,8.115258,4.519444,-1.078788,-2.1006129,0.4485278
2314,-1.1766706,7.2299137,2.9114668,-0.86483246,-2.3350325,0.96990126
2332,-0.6233303,7.4422765,1.6277176,-0.99387777,-2.7101038,1.6022996
2350,1.3657036,7.672586,1.8771694,-1.2104294,-3.1606169,1.892766
2368,3.2919257,6.979265,3.4169507,-1.1339186,-3.5230126,1.8964312
2386,4.38066,6.34098,5.4317074,-0.6963864,-3.3680055,1.8347337
2404,4.078566,7.128817,5.5016975,-0.16126843,-3.0059152,1.9194913
2422,3.9391842,8.762517,4.152744,0.053145275,-2.9561296,2.1311562
2440,4.9292145,10.357333,3.6628132,-0.082161374,-3.1050282,2.1035144
2458,5.904888,10.94836,4.7676992,-0.11209377,-3.385568,1.8425223
2476,6.698707,10.748559,7.3842506,0.2078469,-3.4315355,1.7263051
2494,8.270791,12.216556,10.164711,0.74464476,-2.8840475,1.5783231
2512,8.822935,14.507086,10.262218,1.0239629,-2.20278,1.2411255
2530,8.922835,15.873387,10.2347,0.81183994,-1.7029396,0.8914051
2548,10.01516,16.764116,13.019348,0.48517972,-1.0668762,0.41874814
2565,10.323833,16.577475,15.129818,0.5868888,-0.1742493,-0.19364429
2583,9.656236,16.420147,13.1898365,0.4437936,0.66156703,-0.6027713
2601,9.55155,15.9021015,11.468799,0.08781188,1.2232577,-0.9816604
2619,9.150752,15.097514,11.096715,-0.094989546,1.709201,-1.3423764
2637,8.827721,14.574683,10.536795,-0.100334615,2.2634084,-1.6342173
2655,8.549556,14.187045,9.096315,-0.120493166,2.693763,-1.9469802
2673,7.864012,13.83231,8.277371,-0.15027285,3.0787609,-2.2229385
2691,7.029515,13.40519,7.4141607,-0.0664316,3.3357823,-2.4275784
2709,6.1070814,12.765709,6.1878395,0.0954477,3.4868188,-2.5638015
2727,5.0398827,11.923435,4.5332026,0.27198774,3.4432948,-2.5870142
2745,4.0037904,10.913664,3.3379877,0.42195517,3.2954652,-2.4497223
2763,3.2673993,9.97807,2.7128627,0.53038377,3.1435125,-2.1810944
2781,2.6201408,9.345169,2.4388845,0.61926466,3.0306551,-1.843744
2799,1.9704895,8.962915,1.9525433,0.7316638,2.867096,-1.4677565
2817,1.3567305,8.3581295,1.0989038,0.86009824,2.624888,-1.0343475
2834,0.95653087,7.646863,0.5617151,0.88499105,2.4570527,-0.5543602
2852,0.9529416,6.980462,0.32662028,0.7814494,2.2997549,-0.0954477
2870,0.94277215,6.4761744,0.49351966,0.69043046,2.1276436,0.24251351
2888,0.39960137,5.85763,0.7537391,0.7153232,2.0028744,0.529162
2906,-0.36191443,5.198407,0.6472585,0.8211556,1.871233,0.84665924
2924,-0.8045866,4.782056,0.37567315,0.8352055,1.7606664,1.163851
2942,-0.75553375,4.860421,-0.0741775,0.6797403,1.5931365,1.3371841
2960,-0.8751749,5.2402816,-0.08315059,0.4859433,1.2545645,1.3984233
2978,-1.244866,5.5220366,0.5192425,0.37873647,0.8958339,1.5407549
2996,-1.0725827,5.9706907,0.85124665,0.356898,0.5508477,1.72264
3014,-0.7004988,6.2674007,0.75972116,0.3474296,0.20357084,1.7731891
3032,-0.5210371,6.4348984,0.63828546,0.24587326,-0.121256754,1.7582229
3050,-0.549751,6.769295,0.7890333,0.124005646,-0.41813725,1.8408424
3068,-0.22013968,7.09113,1.0899308,0.08750644,-0.65286225,2.0868683
3085,0.91525465,6.9732833,1.527219,0.058337633,-0.6027713,2.2928827
3103,2.1774685,6.7405815,1.66361,-4.5814895E-4,-0.472657,2.297617
3121,2.4323041,6.5551376,2.0949163,0.050549097,-0.35628715,2.3367124
3139,2.4269204,5.992824,2.6721847,0.17623462,0.042455133,2.6122124
3157,3.0502508,5.5716877,3.1483564,0.17088956,0.8764389,2.7997482
3175,3.5724843,6.419345,3.6544385,0.05100725,1.9361374,2.5039365
3193,2.2546372,7.6217384,3.5102708,0.07162395,2.2273674,1.9946277
3211,0.12143575,8.605786,3.4360933,0.18035796,2.35626,1.5253305
3229,-1.224527,9.863813,1.5032908,0.064751714,2.0803015,0.88086766
3247,-2.495714,10.751551,0.36370903,-0.2640465,1.1337659,0.03894266
3265,-3.3355947,9.789636,0.99601245,-0.61300325,-0.13622294,-0.55481833
3283,-2.1954148,8.605188,3.3816566,-0.68936145,-1.1588113,-0.8546005
3301,-0.27038896,8.129017,4.634897,-0.45845437,-1.6174184,-1.2751812
3319,0.66161543,7.584051,4.293322,-0.26206118,-1.7936531,-1.6575829
3336,1.4087744,7.6851482,4.3322053,-0.30833423,-1.5989398,-1.9628627
3354,1.8693926,7.7186475,4.843073,-0.4072944,-1.0250319,-2.3608415
3372,1.4273187,6.5742803,4.3292146,-0.4392121,-0.36270124,-2.8166997
3390,0.69332033,4.8496532,3.1890345,-0.4992296,0.07376198,-3.163213
3408,0.57487565,3.8560338,2.3078775,-0.5319109,-0.0012217305,-3.3092098
3426,0.31226337,3.894917,2.7110682,-0.43692136,-0.10995574,-3.1535919
3444,0.07776674,4.2705903,2.6979074,-0.18142697,0.04337143,-2.9039006
3462,-0.465404,4.01396,1.753939,0.055588737,0.0076358155,-2.755766
3480,-0.9164511,4.0103707,1.8340986,0.089186326,-0.22082779,-2.6511552
3498,-1.2981063,5.0333023,2.408376,0.15118915,-0.56779927,-2.4678955
3516,-1.6372889,5.870192,2.065006,0.3481932,-0.8900307,-2.1989622
3534,-1.5074782,5.986842,0.9457632,0.44073927,-1.2892311,-1.9306396
3552,-0.7531409,6.751349,2.0081763,0.1873829,-1.3524556,-1.7519615
3570,-0.98584294,8.213962,3.2249267,-0.059406646,-1.2179126,-1.5318973
3587,-2.6273193,9.163314,3.022135,-0.080634214,-1.1085677,-0.980286
3605,-3.385844,9.0849495,1.2346965,-0.17058411,-1.212873,-0.23243423
3623,-2.2941186,9.095717,0.7537391,-0.5181664,-1.6299412,0.24831672
3641,-0.7692925,9.556933,2.9198418,-0.91996306,-1.9895881,0.2950479
3659,-0.48993045,9.339785,4.587041,-0.99112886,-2.311056,0.27748555
3677,-0.84107715,9.026325,4.462016,-0.8006916,-2.4565945,0.51893
3695,-0.5276174,9.307482,3.6801612,-0.68661255,-2.5537221,0.91247994
3713,0.7220342,9.73819,3.6149569,-0.78694713,-2.6230555,1.2078333
3731,1.6444674,9.6682,4.010969,-0.9112582,-2.6048822,1.3434454
3749,2.0685952,8.598608,4.26401,-0.9610438,-2.4817927,1.481501
3767,2.6404798,7.517052,4.5320063,-0.9578367,-2.2169826,1.5766432
3785,2.772085,7.685746,5.3389854,-0.86620694,-1.9498819,1.6050484
3803,2.1176481,8.648259,4.7766724,-0.7435757,-1.9052887,1.7540996
3821,2.3575284,8.711669,3.2069805,-0.75762564,-2.2782218,1.9996674
3838,4.0037904,7.9686975,3.7944186,-0.8542951,-2.6508498,2.0002782
3856,5.255835,7.6683984,5.9174504,-0.6407976,-2.7937922,1.777007
3874,5.0189457,8.002795,6.687939,-0.03863723,-2.5415049,1.6380352
3892,4.8137608,8.730812,4.8029933,0.2950479,-2.4249823,1.785559
3910,6.0490556,10.165309,4.3064823,0.21059579,-2.4468207,1.7560849
3928,7.281359,11.343774,5.685945,0.14370605,-2.591443,1.3889549
3946,7.656434,12.520445,9.698111,0.38148534,-2.30342,1.08902
3964,8.195417,13.947763,11.373684,0.6429357,-1.6253597,0.8222246
3982,8.777472,15.370894,11.812169,0.6122397,-0.9983065,0.39003745
4000,9.06162,16.136,13.2000065,0.46975538,-0.35124752,-0.15928312
4018,8.823533,15.8925295,13.753346,0.44119743,0.3831652,-0.64980793
4036,8.357532,15.420546,12.295519,0.31215215,1.0384709,-1.0499246
4054,7.743174,14.583057,10.789237,0.10186178,1.5149459,-1.3497068
4072,7.338787,13.839488,10.335797,-0.009773844,1.9301815,-1.5690074
4089,7.0504518,13.576278,10.207183,0.04260785,2.3571763,-1.8031214
4107,6.5001025,13.389637,9.093325,0.15424347,2.761569,-2.0621283
4125,5.5507503,12.935001,7.307082,0.22571471,2.9752192,-2.2353086
4143,4.5762734,12.2685995,5.9192452,0.26068676,3.040429,-2.24325
4161,3.9631126,11.478969,4.7976093,0.26206118,3.01462,-2.1331415
4179,3.5300117,10.892727,4.39741,0.31047225,2.9184086,-1.9763018
4197,3.1669009,10.433903,3.8327036,0.45998153,2.7725646,-1.8048013
4215,2.6829524,9.88834,3.2165518,0.6107125,2.581822,-1.5919148
4233,2.2157538,9.296714,2.5172493,0.6606508,2.4298692,-1.3087788
4251,1.7790636,8.565707,1.9292133,0.6261369,2.2899811,-0.9593639
4269,1.3351951,7.7593255,2.012364,0.5885687,2.1700988,-0.5410739
4287,1.2017952,7.23111,2.6303103,0.63361996,2.1685717,-0.1151481
4305,1.1928221,6.841678,2.5645077,0.7725918,2.179109,0.25992316
4323,1.0510473,6.474978,1.707279,0.8579602,2.1111503,0.57451874
4340,0.799801,6.047859,0.89072824,0.8222246,1.9566014,0.8022188
4358,0.3074777,5.599803,1.1491531,0.72784597,1.8070921,0.98364574
4376,-0.05383851,5.4813585,1.7964116,0.6623306,1.7075211,1.169807
4394,-0.2542374,5.486144,1.8753748,0.6979135,1.4666874,1.3752104
4412,-0.12981063,5.6099725,1.5062819,0.68569624,1.2765557,1.5419766
4430,0.044865426,5.802595,0.951147,0.5395467,1.0827587,1.5876387
4448,-0.059820566,6.008976,1.041476,0.35964692,0.82695884,1.5528195
4466,-0.30329028,6.2733827,1.5553347,0.29550606,0.52366424,1.5346462
4484,-0.2847459,6.7411795,1.7934206,0.31627548,0.25503623,1.5932893
4502,-0.09272188,7.4045897,1.7156538,0.30100384,0.049938235,1.7377589
4520,0.29072794,7.6570325,1.5308083,0.14385876,-0.049785517,1.954158
4538,0.7812566,7.204789,1.7341982,-0.012980887,-0.10476339,2.171015
4556,1.4536397,6.558727,3.1375887,-0.003970624,0.11988231,2.2148447
4574,2.1475582,6.346364,3.5156546,0.23793201,0.37033707,2.0894647
4592,1.9609182,6.5228343,3.1495528,0.47586402,0.679893,2.0987802
