timestamp_ms,ax,ay,az,gx,gy,gz
0,-1.7545372,3.2165518,9.107083,-0.31520647,-0.14966199,-0.28619036
17,-1.7928224,3.2847474,9.092128,-0.226631,-0.28863382,-0.22434026
35,-1.6546369,3.3661032,8.578867,-0.2611449,-0.40317106,-0.18997909
53,-1.8143578,3.374478,8.276773,-0.44028112,-0.52580225,-0.22220223
71,-2.1062822,3.487539,9.157332,-0.50640726,-0.7611381,-0.1217149
89,-2.1780667,3.5252259,9.299107,-0.42760566,-1.0685561,0.0018325958
107,-1.0576276,3.3864422,8.516056,-0.8536842,-1.4304937,0.10980303
125,-0.37806597,3.0939198,9.280562,-1.2282972,-1.1702651,-0.03145956
143,-0.4971089,2.7936203,9.703494,-1.3162619,-0.7454083,-0.12140947
161,-1.2442678,2.1774685,10.5015,-1.1145236,-0.44333544,-0.029474247
179,-1.4751751,2.1828525,10.655837,-0.69898254,-0.3987423,0.1656972
197,-1.105484,2.5692933,10.324431,-0.24144448,-0.52763486,0.25518894
215,-0.60059845,2.3108685,9.65145,0.17684549,-0.8135198,0.29260445
233,-0.63828546,2.0841484,10.232906,0.6235407,-0.75854194,0.39171734
251,-0.39541394,2.1541386,11.797812,0.9798279,-0.17806722,0.4266894
268,0.7926225,1.6360924,10.639686,1.2072225,0.10873401,0.39706242
286,1.218545,1.5361922,9.616755,1.4608842,0.40118575,0.16707164
304,-0.17288144,3.8087754,8.457432,1.0158689,-0.5448918,-0.33948836
322,-0.57547385,2.8037899,9.298509,0.5187773,-0.75579304,-0.79198676
340,-0.124426775,2.996412,9.713663,0.23060162,-0.27458394,-0.8900307
358,-0.293719,3.5300117,10.093524,-0.046578474,0.10170906,-0.9117164
376,-0.010169496,3.6891344,11.503495,-0.19181168,0.22983804,-0.86406887
394,-1.3160524,3.0161529,10.653444,0.063682705,0.021227567,-0.59941155
412,-2.2444677,4.4004006,9.587442,0.5161811,-0.48701233,-0.08093964
430,-1.9016958,6.1680984,9.550952,0.7979427,-0.84116143,0.322995
448,0.26620153,4.581059,8.62134,0.56428677,-0.7655669,0.17211129
466,1.375873,5.072784,9.870992,0.011301007,-0.5403103,-0.1742493
484,2.7930222,5.110471,11.706286,-0.086132,-0.24190263,-0.4821254
502,4.7485566,5.2223353,12.614961,0.3043636,-0.27305678,-0.84620106
